group,bin,r_nm,mean_density_mg_ml,sd_density_mg_ml,fit_density_mg_ml,rho_dense_fit_mg_ml,rho_dilute_fit_mg_ml,deltaG_fit_kj_mol
$\text{IDP}_{50}$-Mem,28,8.728798513412475,176.21983227877135,3.728461536653953,195.1464697610274,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,29,9.035072145462035,153.35270958497594,3.1708669204272395,167.56109661098066,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,30,9.341345777511597,132.39688315284855,2.5655328351764477,142.11656465162082,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,31,9.647619409561155,113.25813830005909,2.1665838483648447,119.19562051762512,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,32,9.953893041610717,96.06409103899738,2.0089543282702422,98.98398288121103,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,33,10.260166673660276,80.91326098897986,2.13872910445181,81.49410264716391,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,34,10.566440305709838,67.65126392585293,2.2984022635608685,66.60455198668711,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,35,10.8727139377594,56.19799682034675,2.2760283714115404,54.10389974101659,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,36,11.178987569808958,46.32865005480684,2.244093586988661,43.7309066224677,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,37,11.48526120185852,37.93208155049164,2.0805540835624408,35.20665553450846,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,38,11.791534833908079,30.90126927193815,1.8394281238719214,28.257402971860756,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,39,12.097808465957641,25.02644571877488,1.5597457694696777,22.628953335993685,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,40,12.404082098007203,20.17817785294905,1.256710506792365,18.094290678833346,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,41,12.710355730056762,16.17296514997803,1.0090661189570156,14.456383274796366,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,42,13.016629362106324,12.92502650896683,0.7602695076870392,11.547851006127019,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,43,13.322902994155886,10.295088585229587,0.561296597214389,9.228807323703506,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,44,13.629176626205444,8.144084149084195,0.3887142551734504,7.383804121751382,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,45,13.935450258255003,6.437285352562824,0.2586079166504109,5.918486236211976,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,46,14.241723890304565,5.10241107045768,0.16237895678118827,4.756320522204248,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,47,14.547997522354127,4.057930032258188,0.09691938353173002,3.8355964336412285,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,48,14.854271154403685,3.23771022918469,0.05390363969652816,3.1067856656759716,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,49,15.160544786453247,2.585298597609091,0.03035878256191204,2.530281744971262,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,50,15.466818418502806,2.0668437365333943,0.03241766213760077,2.074502888137147,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,51,15.773092050552368,1.6702447758160581,0.04589092126470496,1.714322691970068,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,52,16.079365682601928,1.3653333450094225,0.05416106078225266,1.4297859912463196,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,53,16.38563931465149,1.125830627343867,0.06539890948446606,1.20506664264812,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,54,16.69191294670105,0.9459731139306004,0.06349867330351826,1.0276269397805038,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,55,16.99818657875061,0.8038076487153362,0.057883755787183654,0.8875429135441095,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,56,17.30446021080017,0.6952564857570867,0.05679137446041722,0.7769648002332019,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,57,17.610733842849733,0.6157803042409633,0.049852337929771104,0.6896868494606281,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,58,17.91700747489929,0.5502313964266493,0.04544791586712844,0.6208050897439534,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,59,18.223281106948853,0.5009192869137756,0.039972620193184046,0.5664455498038024,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,60,18.52955473899841,0.4665882068938574,0.03435870180374627,0.523548730316719,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,61,18.835828371047974,0.43721273790793536,0.028795448607752606,0.4896988699939584,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,62,19.142102003097534,0.4156188789609754,0.025759913796537772,0.4629888118704173,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,63,19.448375635147094,0.39931973238367724,0.022316861314367543,0.44191311866839555,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,64,19.754649267196655,0.3884739149659981,0.020103161693113516,0.42528357666392935,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,65,20.060922899246215,0.3830567934702636,0.022493223596743772,0.412162426315291,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,66,20.367196531295775,0.3801516107714516,0.025326905632755754,0.40180961801857507,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,67,20.673470163345335,0.3820148203511243,0.03213375884933561,0.3936411577489025,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,68,20.979743795394896,0.38367621071876323,0.04085546790698248,0.3871962175633712,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,69,21.286017427444456,0.39004711974300266,0.05446097434276868,0.38211117085037927,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,70,21.592291059494016,0.39262141380986487,0.06753224860791454,0.3780990969474942,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,71,21.898564691543577,0.3971768106355114,0.08052700096338694,0.3749336046462588,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,72,22.20483832359314,0.400504292948933,0.09305765063839462,0.3724360654933889,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,73,22.511111955642697,0.40358558730141825,0.10418015814875856,0.370465538774539,508.7586248925853,0.3630978090974735,-18.67297449750039
