group,r_nm,fit_density_mg_ml
$\text{IDP}_{50}$,9.669338677354709,107.5632165341938
$\text{IDP}_{50}$,9.719438877755511,103.98645717980756
$\text{IDP}_{50}$,9.769539078156313,100.50000515477373
$\text{IDP}_{50}$,9.819639278557114,97.10349743414955
$\text{IDP}_{50}$,9.869739478957916,93.79643206236818
$\text{IDP}_{50}$,9.919839679358718,90.5781767129564
$\text{IDP}_{50}$,9.969939879759519,87.44797729101987
$\text{IDP}_{50}$,10.02004008016032,84.40496652387296
$\text{IDP}_{50}$,10.070140280561123,81.44817248972163
$\text{IDP}_{50}$,10.120240480961924,78.5765270389218
$\text{IDP}_{50}$,10.170340681362726,75.78887406698172
$\text{IDP}_{50}$,10.220440881763528,73.08397760307972
$\text{IDP}_{50}$,10.270541082164328,70.46052968238129
$\text{IDP}_{50}$,10.32064128256513,67.91715797482453
$\text{IDP}_{50}$,10.370741482965933,65.45243314725187
$\text{IDP}_{50}$,10.420841683366733,63.064875939773685
$\text{IDP}_{50}$,10.470941883767535,60.75296394103361
