group,bin,r_nm,mean_density_mg_ml,sd_density_mg_ml,curve_density_mg_ml
$\text{Hel}_{50}$,18,5.471354322433472,514.3514410165584,12.6564312142794,507.4335676798236
$\text{Hel}_{50}$,19,5.767103204727173,493.93848613036147,15.517863380718946,484.5744974786924
$\text{Hel}_{50}$,20,6.0628520870208735,468.5967488425866,16.183266117164628,458.6859441876448
$\text{Hel}_{50}$,21,6.358600969314574,435.8658679625358,14.162938798611808,429.909796214272
$\text{Hel}_{50}$,22,6.654349851608276,398.15176415555106,14.01004153078229,398.5815303727099
$\text{Hel}_{50}$,23,6.950098733901976,359.604544986411,15.013444304657877,365.2367569304449
$\text{Hel}_{50}$,24,7.245847616195678,322.83577356604354,13.434658851880888,330.58838382681284
$\text{Hel}_{50}$,25,7.541596498489381,288.20250115672326,11.190650755967905,295.47290210572976
$\text{Hel}_{50}$,26,7.83734538078308,253.9149897209243,10.168530686233508,260.77279429381366
$\text{Hel}_{50}$,27,8.133094263076782,220.80269270469975,9.49292646514335,227.32960087413778
$\text{Hel}_{50}$,28,8.428843145370482,190.01756901567433,8.104055319473492,195.86531477720894
$\text{Hel}_{50}$,29,8.724592027664183,162.23305222614343,5.673747871993657,166.92697448464162
$\text{Hel}_{50}$,30,9.020340909957886,138.34874056348698,3.4983271450029654,140.86196674374077
$\text{Hel}_{50}$,31,9.316089792251585,117.50963322766347,2.7983130755762864,117.82300538734398
$\text{Hel}_{50}$,32,9.611838674545288,98.9454402890555,3.2319793683278313,97.79533471835501
$\text{Hel}_{50}$,33,9.907587556838987,82.70199817338623,3.53830513775521,80.63603181663743
$\text{Hel}_{50}$,34,10.20333643913269,68.75382965250168,3.8672278998400076,66.11602033240979
$\text{Hel}_{50}$,35,10.499085321426392,56.799391593677434,3.8606745104810454,53.95811077768195
$\text{Hel}_{50}$,36,10.794834203720091,46.40972876103979,3.4574904422910455,43.86752153547468
$\text{Hel}_{50}$,37,11.090583086013794,37.517026138447314,2.8515310989480613,35.55391588882196
$\text{Hel}_{50}$,38,11.386331968307493,30.084649567824247,2.1731161038509117,28.745646463099206
$\text{Hel}_{50}$,39,11.682080850601196,24.142119327584254,1.502551262355123,23.197694338042595
$\text{Hel}_{50}$,40,11.977829732894898,19.361934386483757,0.9609409175430265,18.69497604229764
$\text{Hel}_{50}$,41,12.273578615188597,15.518263753905119,0.5094664288764723,15.052532374848056
$\text{Hel}_{50}$,42,12.5693274974823,12.397322890781249,0.24972907083056697,12.113809654578233
$\text{Hel}_{50}$,43,12.865076379776,9.841572302895669,0.21645871801613104,9.747920116444732
