group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,47000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,48000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,49000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,50000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,51000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,52000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,53000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,54000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,55000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,0.0,1.0,0.0,1061.6620034824687,3173.0552809328537,1900.168240813861,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,1000.0,0.3796564584698699,0.006552528146920358,1061.6620034824687,3173.0552809328537,1900.168240813861,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,2000.0,0.18866335683028487,0.004233705077152837,1061.6620034824687,3173.0552809328537,1900.168240813861,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
