plain_group,group,replicate,threshold,fpt_us,source_path
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 1,50,nan,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL1.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 2,10,0.058,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL2.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 2,15,0.169,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL2.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 2,20,0.289,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL2.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 2,25,0.562,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL2.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 2,30,3.662,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL2.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 2,35,10.233,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL2.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 2,40,10.609,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL2.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 2,45,nan,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL2.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 2,50,nan,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL2.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 3,10,0.191,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL3.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 3,15,0.686,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL3.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 3,20,1.246,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL3.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 3,25,3.313,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL3.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 3,30,3.447,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL3.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 3,35,3.58,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL3.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 3,40,3.706,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL3.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 3,45,5.714,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL3.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 3,50,nan,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL3.txt
