# Time(ns) Kappa2 Rg(A) Size L_minor(A) L_mid(A) L_major(A)
# Generated from /data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc
# AvgKappa2=0.0447+-0.0314
10242.0000 0.0120 73.2855 50.0000 37.4005 44.2930 44.8341
10243.0000 0.0167 73.2667 50.0000 36.4666 44.4545 45.4092
10244.0000 0.0174 73.2595 50.0000 36.3420 44.4058 45.5449
10245.0000 0.0160 73.3989 50.0000 36.6359 44.8766 45.0699
10246.0000 0.0165 73.1185 50.0000 36.3946 44.6539 45.0309
10247.0000 0.0141 72.6723 50.0000 36.6541 44.0623 44.6794
10248.0000 0.0132 72.5193 50.0000 36.7905 43.6969 44.6776
10249.0000 0.0149 72.5718 50.0000 36.4332 44.1974 44.5632
10250.0000 0.0170 72.4935 50.0000 36.0405 43.8940 45.0523
10251.0000 0.0139 72.1938 50.0000 36.4944 43.5069 44.5786
10252.0000 0.0187 72.6261 50.0000 35.9649 43.4098 45.7893
10253.0000 0.0186 72.3820 50.0000 35.7979 43.4827 45.4635
10254.0000 0.0179 72.4416 50.0000 35.9367 43.5284 45.4051
10255.0000 0.0218 72.7752 50.0000 35.7851 42.9304 46.6115
10256.0000 0.0207 72.8953 50.0000 35.9580 43.0889 46.5198
10257.0000 0.0221 72.8543 50.0000 35.9272 42.6446 46.8875
10258.0000 0.0196 72.7597 50.0000 36.0866 42.9667 46.3206
10259.0000 0.0192 72.5070 50.0000 36.1518 42.5226 46.2833
10260.0000 0.0206 72.4786 50.0000 35.7948 42.7772 46.2816
10261.0000 0.0209 72.5935 50.0000 35.9462 42.5661 46.5384
10262.0000 0.0228 72.6839 50.0000 35.5903 42.8626 46.6806
10263.0000 0.0235 72.5721 50.0000 35.3789 42.9259 46.6091
10264.0000 0.0228 72.5359 50.0000 35.5791 42.6546 46.6494
10265.0000 0.0232 72.3132 50.0000 35.4352 42.4682 46.5833
10266.0000 0.0224 72.4940 50.0000 35.3610 43.2523 46.1977
10267.0000 0.0210 72.3062 50.0000 35.4556 43.1947 45.8836
10268.0000 0.0172 72.2710 50.0000 36.0826 43.0275 45.4948
10269.0000 0.0177 72.4612 50.0000 36.3337 42.5405 46.0521
